source,target,material,year,value
Other sectors,scrap,scrap Hot rolled,2016,0.3150241342198375
Other sectors,products,Other industries,2016,31.187389287763914
uk_production,uk_intermediate,Organic coated,2016,203.15739788765305
uk_production,exports,Organic coated,2016,138.84260211234695
imports,uk_intermediate,Organic coated,2016,566.8140947752124
uk_intermediate,Construction,Organic coated,2016,545.1398168053088
Construction,scrap,scrap Organic coated,2016,5.451398168053088
Construction,products,Structural steelwork and building and civil engineering,2016,539.6884186372557
uk_intermediate,Mechanical Engineering,Organic coated,2016,44.658346574446206
Mechanical Engineering,scrap,scrap Organic coated,2016,0.44658346574446206
Mechanical Engineering,products,Mechanical engineering,2016,44.211763108701746
uk_intermediate,Automotive,Organic coated,2016,36.18866015515468
Automotive,scrap,scrap Organic coated,2016,0.3618866015515468
Automotive,products,Vehicles,2016,35.82677355360313
uk_intermediate,Electrical,Organic coated,2016,66.9875198616693
Electrical,scrap,scrap Organic coated,2016,0.669875198616693
Electrical,products,Electrical engineering,2016,66.3176446630526
uk_intermediate,Other Transport,Organic coated,2016,3.849857463314328
Other Transport,scrap,scrap Organic coated,2016,0.03849857463314328
Other Transport,products,Shipbuilding,2016,3.8113588886811844
uk_intermediate,Tubes,Organic coated,2016,0.0
Tubes,scrap,scrap Organic coated,2016,0.0
Tubes,products,"Boilers, drums and other vessels",2016,0.0
uk_intermediate,Metal Goods,Organic coated,2016,49.2781755304234
Metal Goods,scrap,scrap Organic coated,2016,0.49278175530423396
Metal Goods,products,Metal goods,2016,48.78539377511916
uk_intermediate,Other sectors,Organic coated,2016,23.869116272548833
Other sectors,scrap,scrap Organic coated,2016,0.23869116272548835
Other sectors,products,Other industries,2016,23.630425109823346
uk_production,uk_intermediate,Plate,2016,750.0701823949246
uk_production,exports,Plate,2016,348.7
imports,uk_intermediate,Plate,2016,355.5
uk_intermediate,Construction,Plate,2016,350.4657478191911
Construction,scrap,scrap Plate,2016,3.5046574781919113
Construction,products,Structural steelwork and building and civil engineering,2016,346.9610903409992
uk_intermediate,Mechanical Engineering,Plate,2016,313.9819318001586
Mechanical Engineering,scrap,scrap Plate,2016,3.1398193180015856
Mechanical Engineering,products,Mechanical engineering,2016,310.842112482157
uk_intermediate,Automotive,Plate,2016,18.79469310071372
Automotive,scrap,scrap Plate,2016,0.1879469310071372
Automotive,products,Vehicles,2016,18.606746169706582
uk_intermediate,Electrical,Plate,2016,4.422280729579699
Electrical,scrap,scrap Plate,2016,0.04422280729579699
Electrical,products,Electrical engineering,2016,4.378057922283902
uk_intermediate,Other Transport,Plate,2016,109.45144805709754
Other Transport,scrap,scrap Plate,2016,1.0945144805709754
Other Transport,products,Shipbuilding,2016,108.35693357652656
uk_intermediate,Tubes,Plate,2016,185.73579064234735
Tubes,scrap,scrap Plate,2016,1.8573579064234735
Tubes,products,"Boilers, drums and other vessels",2016,183.87843273592387
uk_intermediate,Metal Goods,Plate,2016,96.18460586835843
Metal Goods,scrap,scrap Plate,2016,0.9618460586835843
Metal Goods,products,Metal goods,2016,95.22275980967484
uk_intermediate,Other sectors,Plate,2016,26.533684377478192
Other sectors,scrap,scrap Plate,2016,0.26533684377478195
Other sectors,products,Other industries,2016,26.26834753370341
uk_production,uk_intermediate,Tin plate,2016,231.6707168894289
uk_production,exports,Tin plate,2016,158.3292831105711
imports,uk_intermediate,Tin plate,2016,646.36695018226
uk_intermediate,Construction,Tin plate,2016,0.8780376670716891
Construction,scrap,scrap Tin plate,2016,0.008780376670716891
Construction,products,Structural steelwork and building and civil engineering,2016,0.8692572904009722
uk_intermediate,Mechanical Engineering,Tin plate,2016,4.390188335358445
Mechanical Engineering,scrap,scrap Tin plate,2016,0.043901883353584456
Mechanical Engineering,products,Mechanical engineering,2016,4.34628645200486
uk_intermediate,Automotive,Tin plate,2016,2.6341130012150673
Automotive,scrap,scrap Tin plate,2016,0.026341130012150674
Automotive,products,Vehicles,2016,2.6077718712029165
uk_intermediate,Electrical,Tin plate,2016,0.8780376670716891
Electrical,scrap,scrap Tin plate,2016,0.008780376670716891
Electrical,products,Electrical engineering,2016,0.8692572904009722
uk_intermediate,Other Transport,Tin plate,2016,0.0
Other Transport,scrap,scrap Tin plate,2016,0.0
Other Transport,products,Shipbuilding,2016,0.0
uk_intermediate,Tubes,Tin plate,2016,0.0
Tubes,scrap,scrap Tin plate,2016,0.0
Tubes,products,"Boilers, drums and other vessels",2016,0.0
uk_intermediate,Metal Goods,Tin plate,2016,864.8671020656137
Metal Goods,scrap,scrap Tin plate,2016,8.648671020656137
Metal Goods,products,Metal goods,2016,856.2184310449576
uk_intermediate,Other sectors,Tin plate,2016,4.390188335358445
Other sectors,scrap,scrap Tin plate,2016,0.043901883353584456
Other sectors,products,Other industries,2016,4.34628645200486
uk_production,uk_intermediate,Tubes and pipes,2016,371.90000000000003
uk_production,exports,Tubes and pipes,2016,204.3
imports,uk_intermediate,Tubes and pipes,2016,908.1
uk_intermediate,Construction,Tubes and pipes,2016,70.40000000000002
Construction,scrap,scrap Tubes and pipes,2016,0.7040000000000002
Construction,products,Structural steelwork and building and civil engineering,2016,69.69600000000001
uk_intermediate,Mechanical Engineering,Tubes and pipes,2016,225.28000000000003
Mechanical Engineering,scrap,scrap Tubes and pipes,2016,2.2528
Mechanical Engineering,products,Mechanical engineering,2016,223.02720000000002
uk_intermediate,Automotive,Tubes and pipes,2016,401.9200000000001
Automotive,scrap,scrap Tubes and pipes,2016,4.0192000000000005
Automotive,products,Vehicles,2016,397.90080000000006
uk_intermediate,Electrical,Tubes and pipes,2016,108.80000000000003
Electrical,scrap,scrap Tubes and pipes,2016,1.0880000000000003
Electrical,products,Electrical engineering,2016,107.71200000000002
uk_intermediate,Other Transport,Tubes and pipes,2016,16.64
Other Transport,scrap,scrap Tubes and pipes,2016,0.16640000000000002
Other Transport,products,Shipbuilding,2016,16.4736
uk_intermediate,Tubes,Tubes and pipes,2016,0.0
Tubes,scrap,scrap Tubes and pipes,2016,0.0
Tubes,products,"Boilers, drums and other vessels",2016,0.0
uk_intermediate,Metal Goods,Tubes and pipes,2016,140.80000000000004
Metal Goods,scrap,scrap Tubes and pipes,2016,1.4080000000000004
Metal Goods,products,Metal goods,2016,139.39200000000002
uk_intermediate,Other sectors,Tubes and pipes,2016,316.16
Other sectors,scrap,scrap Tubes and pipes,2016,3.1616000000000004
Other sectors,products,Other industries,2016,312.9984
uk_production,uk_intermediate,Bright bars,2016,70.1
uk_production,exports,Bright bars,2016,50.0
imports,uk_intermediate,Bright bars,2016,75.9
uk_intermediate,Construction,Bright bars,2016,0.0
Construction,scrap,scrap Bright bars,2016,0.0
Construction,products,Structural steelwork and building and civil engineering,2016,0.0
uk_intermediate,Mechanical Engineering,Bright bars,2016,48.18
Mechanical Engineering,scrap,scrap Bright bars,2016,0.4818
Mechanical Engineering,products,Mechanical engineering,2016,47.6982
uk_intermediate,Automotive,Bright bars,2016,26.279999999999998
Automotive,scrap,scrap Bright bars,2016,0.2628
Automotive,products,Vehicles,2016,26.0172
uk_intermediate,Electrical,Bright bars,2016,18.98
Electrical,scrap,scrap Bright bars,2016,0.1898
Electrical,products,Electrical engineering,2016,18.7902
uk_intermediate,Other Transport,Bright bars,2016,2.92
Other Transport,scrap,scrap Bright bars,2016,0.0292
Other Transport,products,Shipbuilding,2016,2.8908
uk_intermediate,Tubes,Bright bars,2016,0.0
Tubes,scrap,scrap Bright bars,2016,0.0
Tubes,products,"Boilers, drums and other vessels",2016,0.0
uk_intermediate,Metal Goods,Bright bars,2016,48.18
Metal Goods,scrap,scrap Bright bars,2016,0.4818
Metal Goods,products,Metal goods,2016,47.6982
uk_intermediate,Other sectors,Bright bars,2016,1.46
Other sectors,scrap,scrap Bright bars,2016,0.0146
Other sectors,products,Other industries,2016,1.4454
uk_production,uk_intermediate,Heavy sections,2016,635.4797045032292
uk_production,exports,Heavy sections,2016,303.8202954967708
imports,uk_intermediate,Heavy sections,2016,757.6393966203663
uk_intermediate,Construction,Heavy sections,2016,1393.1191011235953
Construction,scrap,scrap Heavy sections,2016,13.931191011235953
Construction,products,Structural steelwork and building and civil engineering,2016,1379.1879101123593
uk_intermediate,Mechanical Engineering,Heavy sections,2016,0.0
Mechanical Engineering,scrap,scrap Heavy sections,2016,0.0
Mechanical Engineering,products,Mechanical engineering,2016,0.0
uk_intermediate,Automotive,Heavy sections,2016,0.0
Automotive,scrap,scrap Heavy sections,2016,0.0
Automotive,products,Vehicles,2016,0.0
uk_intermediate,Electrical,Heavy sections,2016,0.0
Electrical,scrap,scrap Heavy sections,2016,0.0
Electrical,products,Electrical engineering,2016,0.0
uk_intermediate,Other Transport,Heavy sections,2016,0.0
Other Transport,scrap,scrap Heavy sections,2016,0.0
Other Transport,products,Shipbuilding,2016,0.0
uk_intermediate,Tubes,Heavy sections,2016,0.0
Tubes,scrap,scrap Heavy sections,2016,0.0
Tubes,products,"Boilers, drums and other vessels",2016,0.0
uk_intermediate,Metal Goods,Heavy sections,2016,0.0
Metal Goods,scrap,scrap Heavy sections,2016,0.0
Metal Goods,products,Metal goods,2016,0.0
uk_intermediate,Other sectors,Heavy sections,2016,0.0
Other sectors,scrap,scrap Heavy sections,2016,0.0
Other sectors,products,Other industries,2016,0.0
uk_production,uk_intermediate,Hot rolled bars in lengths,2016,142.61428429817613
uk_production,exports,Hot rolled bars in lengths,2016,193.0
imports,uk_intermediate,Hot rolled bars in lengths,2016,129.5
uk_intermediate,Construction,Hot rolled bars in lengths,2016,67.75645679024584
Construction,scrap,scrap Hot rolled bars in lengths,2016,0.6775645679024583
Construction,products,Structural steelwork and building and civil engineering,2016,67.07889222234337
uk_intermediate,Mechanical Engineering,Hot rolled bars in lengths,2016,59.04879969270421
Mechanical Engineering,scrap,scrap Hot rolled bars in lengths,2016,0.5904879969270421
